T;Right;Left- Top;Left- Bottom;T;B;SAFring;Status;M/F
1A;X/R;Green;Green;G;G;4A92202;Adult;F
1A;X/R;Grey;Red;Gy;R;4A94579;Juvenile;J
1A;X/R;Sky Blue;Violet;S;V;4A94583;Juvenile;
1A;X/R;Grey;Grey;Gy;Gy;4A94589;Juvenile;J
1A;X/R;Grey;Sky Blue;Gy;S;TEMP1;Fledgling;
1A;X;Black;Red;Bk;R;4A78449;Adult;
1B;X/R;Red;Blue;R;B;4A92208;D-adult;M
1B;X/R;Sky Blue;Shock Green;S;Sg;4A94554;Juvenile;J
1B;X/R;Blue;Orange;B;O;4A92235;D-adult;F
1B;X/R;Black;Blue;Bk;B;4A94572;Juvenile;J
1B;X/M;Black;Violet;Bk;V;4A92212;Adult;F
1B;X/M;Black;Yellow;Bk;Y;4A92224;D-adult;F
1B;X/R;Shock Green;Yellow;Sg;Y;4A94568;Juvenile;J
1C;X/R;Shock Pink;Shock Pink;Sp;Sp;4A78549;Adult;F
1C;X/R;Blue;Blue;B;B;TEMP2;Juvenile;J
1C;X/R;Orange;Yellow;O;Y;4A94577;Adult;
1C;X/R;Blue;Yellow;B;Y;4A92239;Adult;
1C;X/R;Shock Green;Dark Green;Sg;Z;4A94558;Adult;
1C;X/R;Yellow;Yellow;Y;Y;VVVVVV;Juvenile;J
1C;X/R;New Green;Red;Ng;R;4A78501;Adult;M
1C;X/R;Shock Pink;Violet;Sp;V;4A95567;Juvenile;
1D;X/R;Green;Yellow;G;Y;4A22261;D-adult;F
1D;X/R;Violet;Sky Blue;V;S;4A92214;Adult;F
1D;X/R;Shock Pink;New Green;Sp;Ng;4A94563;Fledgling;
VP;X/R;Magenta;Light Green;M;Lg;4A52079;D-adult;F
VP;X/R;Violet;Orange;V;O;4A94588;Adult;
VP;X/R;Red;Red;R;R;4A94501;Adult;M
VP;X/R;Shock Green;Grey;Sg;Gy;4A94569;Juvenile;
VP;X/R;Blue;Shock Pink;B;Sp;4A92238;Adult;
2A;X/R;Orange;Shock Pink;O;Sp;4A52077;D-adult;F
2A;X/R;Blue;White;B;W;4A92237;Adult;
2A;X/R;New Green;Violet;Ng;V;4A92243;Adult;
2A;X/R;Shock Pink;Grey;Sp;Gy;4A94580;Fledge;
2A;X/R;Shock Pink;Orange;Sp;O;4A94561;Juvenile;J
2B;X/R;Red;Yellow;R;Y;4A92221;Adult;
2B;X/R;Grey;Orange;Gy;O;4A94587;Juvenile;
2B;X/R;Violet;Shock Green;V;Sg;4A94557;Adult;
3A;X/R;Black;Green;Bk;G;4A22250;D-adult;F
3A;X/R;Yellow;Violet;Y;V;4A22285;D-adult;M
3A;X/R;White;Violet;W;V;4A78444;Adult;
3A;X/R;Dark Green;Yellow;Z;Y;4A52059;Adult;M
3B;X/R;White;Shock Pink;W;Sp;4A78508;D-adult;
3B;X/R;Grey;Violet;Gy;V;4A66604;D-adult;
3B;X/R;Sky Blue;Sky Blue;S;S;4A94565;Adult;
3B;X/R;Red;Shock Green;R;Sg;4A94556;Adult;
3B;X/R;Shock Pink;Red;Sp;R;4A94581;Fledgling;
3B;X/R;Shock Pink;Violet;Sp;V;4A92223;Adult;
3B;X/R;White;Yellow;W;Y;4A92226;Juvenile;
4A;X/M;Shock Pink;Yellow;Sp;Y;4A92209;Adult;M
4A;X/R;Green;Red;G;R;4A52067;Adult;F
4A;X/R;Shock Pink;Green;Sp;G;4A92201;Adult;F
4A;X/R;Shock green;Orange;Sg;O;4A94570;D-Adult;
4A;X/R;Shock Green;Dark Green;Sg;Z;4A78445;Juvenile;J
4A;X/R;Violet;Blue;V;B;4A92216;Adult;F
4B;X/R;Yellow;Blue;Y;B;4A52072;D-adult;M
4B;X/R;New Green;Yellow;Ng;Y;4A92233;Adult;M
4B;X/R;Sky Blue;Shock Pink;S;Sp;4A92241;Juvenile;J
4B;X/R;Yellow;Shock Pink;Y;Sp;4A94571;Adult;
4B;X/R;New green;Blue;Ng;B;4A92232;Adult;
4B;X/R;Orange;New Green;O;Ng;4A78447;Adult;